Realidad_Default,Probabilidad_Estimada,Prediccion_Modelo
1,0.295686870609633,0
0,0.15663966063161178,0
0,0.167114356926991,0
0,0.4037992180073337,0
0,0.3291871232610665,0
0,0.36338230673422034,0
0,0.604268747916251,1
0,0.15032962618495652,0
0,0.21437878829769416,0
0,0.353969645779744,0
0,0.5607588523100203,1
0,0.36188212448020474,0
0,0.20057447660735586,0
1,0.43640730285187423,0
0,0.26273583785031707,0
1,0.6184997163854792,1
0,0.2653591144163937,0
1,0.2565268001134375,0
0,0.27269986200013496,0
1,0.5266343705627808,1
0,0.43527750548240546,0
1,0.28798649250193264,0
1,0.3119415091381021,0
0,0.31331949996194386,0
1,0.3019461613862778,0
0,0.17036093845013206,0
0,0.2997559172980907,0
0,0.15669805291971975,0
0,0.17709127071487707,0
0,0.16594821887528266,0
1,0.3684547441918171,0
0,0.2626820612677507,0
0,0.20147223199365766,0
0,0.38560357351054086,0
0,0.3537728347436912,0
1,0.2780794550059167,0
1,0.5419636074356404,1
1,0.26938273785571626,0
1,0.18513555362395512,0
0,0.4064109558822811,0
0,0.13815615713081147,0
1,0.2737808586373201,0
0,0.3502385375423889,0
0,0.2619177097121165,0
0,0.2832383794898598,0
1,0.3599500692404937,0
0,0.355040656763993,0
1,0.35477740090227167,0
0,0.3327462599917203,0
0,0.17503032743132457,0
1,0.4828261205513129,0
0,0.3166017417824635,0
0,0.23138947877631136,0
0,0.3519418230924588,0
1,0.2728412388679741,0
0,0.32535130563752945,0
0,0.22136769005496537,0
0,0.6205597025211769,1
0,0.3751180756116991,0
0,0.26911545725948127,0
0,0.5570446831842937,1
0,0.43414549472342606,0
0,0.3784149146032009,0
0,0.3182675544166315,0
1,0.5469789509150496,1
0,0.4001667999074232,0
0,0.34222608789612496,0
0,0.46177894413469717,0
0,0.33053964331653596,0
0,0.38549806174766166,0
0,0.17130266304621877,0
0,0.24414575891764517,0
0,0.2289326701985587,0
1,0.513269521542576,1
1,0.11436966548287227,0
0,0.42782755421154767,0
0,0.3269486115210949,0
0,0.29339943908690613,0
0,0.38966019301670146,0
0,0.2826044999960808,0
0,0.33191055811454007,0
0,0.23058148737992284,0
0,0.30324862857319607,0
0,0.40227172783066933,0
1,0.2492298765487841,0
0,0.3419975740788107,0
0,0.2554743352262543,0
1,0.40898911125811716,0
0,0.3162941750111741,0
0,0.2880509760596526,0
0,0.5424135612391051,1
0,0.3745223957563051,0
0,0.15131112175427056,0
1,0.5983543686946696,1
0,0.35301929898977846,0
0,0.26391302636458275,0
0,0.21640159493889344,0
0,0.16032389095318514,0
0,0.5056246553858216,1
1,0.2798999137507812,0
0,0.4764570173692067,0
0,0.3791811101770443,0
1,0.3369140301993749,0
0,0.39931028764998416,0
1,0.26458547978726915,0
0,0.25401162115290676,0
0,0.3466887704122983,0
0,0.4102701804004505,0
1,0.22951792790387082,0
0,0.3161629227239963,0
1,0.3502612026005153,0
1,0.5526610822787132,1
1,0.3714628635283607,0
0,0.3109158208373828,0
0,0.31122313765037013,0
0,0.3832801458625351,0
0,0.2484762963468079,0
1,0.3567178920956913,0
0,0.13818706878820314,0
